id,Elevation,Aspect,Slope,Wilderness,Soil_Type,Hillshade_9am,Hillshade_noon,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Fire_Points,Label
0,elevation_medium,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,4,0,high,5
1,elevation_medium,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,4,0,high,5
2,elevation_high,aspect_high,slope_low,rawah,legault_a,hillshade_9am_max,hillnoon_max,4,3,high,2
3,elevation_high,aspect_high,slope_high,rawah,como_b,hillshade_9am_max,hillnoon_max,4,4,high,2
4,elevation_medium,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,3,0,high,5
5,elevation_medium,aspect_high,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,4,0,high,2
6,elevation_medium,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_min,4,0,high,5
7,elevation_medium,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_min,4,0,high,5
8,elevation_medium,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_min,4,3,high,5
9,elevation_medium,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_min,4,1,high,5
10,elevation_medium,aspect_high,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,3,3,high,5
11,elevation_high,aspect_high,slope_medium,rawah,como_b,hillshade_9am_max,hillnoon_max,4,1,high,2
12,elevation_medium,aspect_high,slope_high,rawah,como_b,hillshade_9am_max,hillnoon_min,3,3,high,2
13,elevation_medium,aspect_high,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,3,3,high,5
14,elevation_medium,aspect_high,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,1,0,high,5
15,elevation_medium,aspect_low,slope_low,rawah,cryaquolis_a,hillshade_9am_min,hillnoon_min,0,0,high,5
16,elevation_medium,aspect_high,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,2,0,high,5
17,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,2,0,high,5
18,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,2,0,high,5
19,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,2,0,high,5
20,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,1,0,high,5
21,elevation_high,aspect_high,slope_high,rawah,como_b,hillshade_9am_min,hillnoon_max,4,1,high,2
22,elevation_high,aspect_medium,slope_ultra,rawah,como_b,hillshade_9am_max,hillnoon_min,3,4,high,5
23,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,0,high,5
24,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,2,1,high,5
25,elevation_medium,aspect_high,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,0,0,high,5
26,elevation_medium,aspect_high,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,0,0,high,5
27,elevation_high,aspect_high,slope_high,rawah,como_a,hillshade_9am_max,hillnoon_max,4,1,high,2
28,elevation_high,aspect_high,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,4,1,high,2
29,elevation_medium,aspect_medium,slope_ultra,rawah,como_b,hillshade_9am_max,hillnoon_min,3,3,high,5
30,elevation_medium,aspect_medium,slope_ultra,rawah,como_b,hillshade_9am_max,hillnoon_min,1,1,high,5
31,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_max,hillnoon_max,2,0,high,5
32,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,3,0,high,5
33,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,0,high,5
34,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,0,high,5
35,elevation_high,aspect_low,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_min,4,1,high,2
36,elevation_medium,aspect_medium,slope_ultra,rawah,como_b,hillshade_9am_max,hillnoon_min,1,1,high,5
37,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_max,hillnoon_min,3,1,high,5
38,elevation_medium,aspect_medium,slope_ultra,rawah,como_b,hillshade_9am_max,hillnoon_min,3,3,high,5
39,elevation_medium,aspect_ultra,slope_medium,rawah,como_b,hillshade_9am_min,hillnoon_min,0,0,high,5
40,elevation_medium,aspect_ultra,slope_low,rawah,typic_b,hillshade_9am_min,hillnoon_max,0,0,high,1
41,elevation_medium,aspect_ultra,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_max,0,0,high,2
42,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,0,high,5
43,elevation_medium,aspect_ultra,slope_ultra,rawah,cryaquolis_a,hillshade_9am_min,hillnoon_min,0,1,high,5
44,elevation_medium,aspect_high,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,2,1,high,2
45,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,4,0,high,5
46,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_max,hillnoon_min,4,0,high,5
47,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,4,0,high,5
48,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,2,0,high,5
49,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_max,hillnoon_max,2,1,high,5
50,elevation_medium,aspect_medium,slope_ultra,rawah,como_b,hillshade_9am_max,hillnoon_min,1,1,high,5
51,elevation_medium,aspect_ultra,slope_ultra,rawah,como_a,hillshade_9am_min,hillnoon_min,2,3,high,1
52,elevation_medium,aspect_medium,slope_low,rawah,como_b,hillshade_9am_min,hillnoon_max,0,0,high,1
53,elevation_medium,aspect_medium,slope_medium,rawah,rogert_a,hillshade_9am_max,hillnoon_min,3,1,high,5
54,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,1,high,5
55,elevation_medium,aspect_ultra,slope_ultra,rawah,cryaquolis_a,hillshade_9am_min,hillnoon_min,0,1,high,1
56,elevation_medium,aspect_medium,slope_medium,rawah,rogert_a,hillshade_9am_max,hillnoon_min,3,0,high,5
57,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,0,high,5
58,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,3,1,high,5
59,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,1,high,5
60,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,1,high,5
61,elevation_high,aspect_medium,slope_medium,rawah,como_a,hillshade_9am_max,hillnoon_min,0,0,high,2
62,elevation_medium,aspect_medium,slope_low,rawah,legault_a,hillshade_9am_max,hillnoon_min,3,1,high,2
63,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,0,high,5
64,elevation_medium,aspect_low,slope_medium,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,1,high,5
65,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,1,high,5
66,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,0,high,5
67,elevation_high,aspect_low,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,2,0,high,1
68,elevation_medium,aspect_low,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_min,4,3,high,2
69,elevation_medium,aspect_medium,slope_low,rawah,como_a,hillshade_9am_max,hillnoon_min,3,0,high,2
70,elevation_high,aspect_high,slope_medium,rawah,como_b,hillshade_9am_min,hillnoon_max,4,3,high,2
71,elevation_high,aspect_low,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,4,0,high,2
72,elevation_high,aspect_medium,slope_high,rawah,como_a,hillshade_9am_max,hillnoon_min,2,1,high,2
73,elevation_high,aspect_low,slope_low,rawah,cryaquolis_a,hillshade_9am_min,hillnoon_min,0,0,high,2
74,elevation_medium,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_min,4,1,high,2
75,elevation_high,aspect_medium,slope_high,rawah,como_b,hillshade_9am_max,hillnoon_min,4,3,high,2
76,elevation_high,aspect_high,slope_ultra,rawah,como_b,hillshade_9am_max,hillnoon_max,3,3,high,2
77,elevation_medium,aspect_ultra,slope_low,rawah,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,1,high,2
78,elevation_high,aspect_medium,slope_low,rawah,legault_a,hillshade_9am_max,hillnoon_min,4,4,high,1
79,elevation_high,aspect_high,slope_ultra,rawah,como_b,hillshade_9am_max,hillnoon_max,3,3,high,2
80,elevation_high,aspect_medium,slope_low,rawah,typic_b,hillshade_9am_max,hillnoon_min,5,4,high,1
81,elevation_medium,aspect_high,slope_high,rawah,legault_a,hillshade_9am_max,hillnoon_max,1,1,high,2
82,elevation_high,aspect_ultra,slope_ultra,rawah,como_a,hillshade_9am_min,hillnoon_min,3,4,high,1
83,elevation_high,aspect_low,slope_medium,rawah,legault_a,hillshade_9am_min,hillnoon_min,4,4,high,1
84,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,4,1,high,2
85,elevation_high,aspect_ultra,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_min,3,4,high,1
86,elevation_high,aspect_ultra,slope_ultra,rawah,como_a,hillshade_9am_min,hillnoon_min,0,1,high,2
87,elevation_high,aspect_low,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_min,5,3,high,2
88,elevation_high,aspect_low,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_min,5,3,high,2
89,elevation_medium,aspect_ultra,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_max,1,1,high,2
90,elevation_medium,aspect_medium,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,4,0,high,2
91,elevation_high,aspect_low,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_min,0,0,high,2
92,elevation_medium,aspect_ultra,slope_medium,rawah,como_b,hillshade_9am_min,hillnoon_min,1,0,high,2
93,elevation_high,aspect_high,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_max,2,0,mid,2
94,elevation_high,aspect_medium,slope_low,rawah,como_a,hillshade_9am_max,hillnoon_min,5,4,high,2
95,elevation_high,aspect_low,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_min,4,4,high,1
96,elevation_high,aspect_high,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_max,2,0,mid,2
97,elevation_high,aspect_medium,slope_low,rawah,legault_a,hillshade_9am_min,hillnoon_max,5,3,high,2
98,elevation_medium,aspect_low,slope_low,rawah,cryaquolis_a,hillshade_9am_min,hillnoon_max,0,0,high,2
99,elevation_medium,aspect_low,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_min,3,1,high,2
100,elevation_high,aspect_low,slope_low,rawah,como_a,hillshade_9am_min,hillnoon_min,4,1,high,2
101,elevation_medium,aspect_medium,slope_medium,rawah,como_a,hillshade_9am_max,hillnoon_min,3,0,high,2
102,elevation_medium,aspect_low,slope_medium,rawah,como_a,hillshade_9am_min,hillnoon_min,3,0,high,2
103,elevation_high,aspect_medium,slope_medium,rawah,como_a,hillshade_9am_max,hillnoon_min,3,3,high,1
104,elevation_medium,aspect_high,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,3,1,high,2
105,elevation_medium,aspect_high,slope_low,rawah,rogert_a,hillshade_9am_min,hillnoon_max,3,1,high,2
106,elevation_high,aspect_low,slope_low,rawah,typic_b,hillshade_9am_min,hillnoon_min,0,0,mid,2
107,elevation_high,aspect_low,slope_high,rawah,como_a,hillshade_9am_min,hillnoon_min,3,1,high,2
